fecha_corte,variante,vida_media,umbral_parcial,horizonte_dias,n_seleccionados,n_efectivo,n_dias_reales,retorno_total,retorno_anualizado,sortino_realizado,max_drawdown
2020-05-31,grid_vm63_um0.1,63.0,0.1,126,16,2.15,87,0.034355055312074265,0.0995111946970427,1.3367145675581522,-0.022813470743166166
2020-05-31,grid_vm63_um0.2,63.0,0.2,63,16,2.15,43,0.03814282354601512,0.22353468682780953,6.186582287588846,-0.012598720954060416
2020-05-31,grid_vm63_um0.2,63.0,0.2,126,16,2.15,87,0.034355055312074265,0.0995111946970427,1.3367145675581522,-0.022813470743166166
2020-05-31,grid_vm63_um0.3,63.0,0.3,63,16,2.15,43,0.03814282354601512,0.22353468682780953,6.186582287588846,-0.012598720954060416
2020-05-31,grid_vm63_um0.3,63.0,0.3,126,16,2.15,87,0.034355055312074265,0.0995111946970427,1.3367145675581522,-0.022813470743166166
2020-05-31,grid_vm126_um0.1,126.0,0.1,63,16,2.1,43,0.0378725671967172,0.22195085892029615,6.362453367733618,-0.012842465089907778
2020-05-31,grid_vm126_um0.1,126.0,0.1,126,16,2.1,87,0.03359288426680752,0.0973035268417873,1.3046516307482428,-0.022164566828927985
2020-05-31,grid_vm126_um0.2,126.0,0.2,63,16,2.1,43,0.0378725671967172,0.22195085892029615,6.362453367733618,-0.012842465089907778
2020-05-31,grid_vm126_um0.2,126.0,0.2,126,16,2.1,87,0.03359288426680752,0.0973035268417873,1.3046516307482428,-0.022164566828927985
2020-05-31,grid_vm126_um0.3,126.0,0.3,63,16,2.1,43,0.0378725671967172,0.22195085892029615,6.362453367733618,-0.012842465089907778
2020-05-31,grid_vm126_um0.3,126.0,0.3,126,16,2.1,87,0.03359288426680752,0.0973035268417873,1.3046516307482428,-0.022164566828927985
2020-05-31,grid_vm189_um0.1,189.0,0.1,63,15,1.85,43,0.0336780303836403,0.19736892224831057,5.929846310314653,-0.014310172574652068
2020-05-31,grid_vm189_um0.1,189.0,0.1,126,15,1.85,87,0.02937918271538217,0.08509832234800353,1.1303619667630176,-0.018384346628999185
2020-05-31,grid_vm189_um0.2,189.0,0.2,63,16,1.97,43,0.03699949829410962,0.21683426907245634,6.4505979217477725,-0.01363659051158098
2020-05-31,grid_vm189_um0.2,189.0,0.2,126,16,1.97,87,0.03310925045929847,0.09590265650279556,1.3286571974576258,-0.019809090946370962
2020-05-31,grid_vm189_um0.3,189.0,0.3,63,16,1.97,43,0.03699949829410962,0.21683426907245634,6.4505979217477725,-0.01363659051158098
2020-05-31,grid_vm189_um0.3,189.0,0.3,126,16,1.97,87,0.03310925045929847,0.09590265650279556,1.3286571974576258,-0.019809090946370962
2020-05-31,grid_vm252_um0.1,252.0,0.1,63,15,1.86,43,0.033072304473600815,0.19381908668249778,5.820346313353991,-0.01407689411330536
2020-05-31,grid_vm252_um0.1,252.0,0.1,126,15,1.86,87,0.028768042535995308,0.08332812320771055,1.0951571683371288,-0.018271408227573158
2020-05-31,grid_vm252_um0.2,252.0,0.2,63,16,1.97,43,0.0369283224726725,0.2164171456538016,6.376391435940904,-0.013884378985193468
2020-05-31,grid_vm252_um0.2,252.0,0.2,126,16,1.97,87,0.03270000289625439,0.09471724976846099,1.2905059015100822,-0.02013092101973104
2020-05-31,grid_vm252_um0.3,252.0,0.3,63,16,1.97,43,0.0369283224726725,0.2164171456538016,6.376391435940904,-0.013884378985193468
2020-05-31,grid_vm252_um0.3,252.0,0.3,126,16,1.97,87,0.03270000289625439,0.09471724976846099,1.2905059015100822,-0.02013092101973104
2020-05-31,hrp_crudo_sin_purga,,,63,102,1.28,43,0.005999237266382079,0.035158320723913575,-1.4536585851162063,-0.0018196207680356725
2020-05-31,hrp_crudo_sin_purga,,,126,102,1.28,87,0.005295489614249614,0.015338659572309227,-4.179957750422205,-0.002914342337926785
2020-05-31,equal_weight_universo_produccion,,,63,16,16.0,43,0.09284080612165564,0.5440903056431912,3.603509249469999,-0.04413326823205819
2020-05-31,equal_weight_universo_produccion,,,126,16,16.0,87,0.12912261273816286,0.37401032655192,2.17874124361411,-0.08295642264518825
2020-08-02,grid_vm63_um0.1,63.0,0.1,63,16,2.04,43,-0.002999004539784016,-0.01757556148896679,-1.2850139541037366,-0.02101573002235524
2020-08-02,grid_vm63_um0.1,63.0,0.1,126,16,2.04,87,-0.00996493803032196,-0.02886395843265671,-1.5719384165482022,-0.03055267659214716
2020-08-02,grid_vm63_um0.2,63.0,0.2,63,16,2.04,43,-0.002999004539784016,-0.01757556148896679,-1.2850139541037366,-0.02101573002235524
2020-08-02,grid_vm63_um0.2,63.0,0.2,126,16,2.04,87,-0.00996493803032196,-0.02886395843265671,-1.5719384165482022,-0.03055267659214716
2020-08-02,grid_vm63_um0.3,63.0,0.3,63,16,2.04,43,-0.002999004539784016,-0.01757556148896679,-1.2850139541037366,-0.02101573002235524
2020-08-02,grid_vm63_um0.3,63.0,0.3,126,16,2.04,87,-0.00996493803032196,-0.02886395843265671,-1.5719384165482022,-0.03055267659214716
2020-08-02,grid_vm126_um0.1,126.0,0.1,63,15,1.99,43,-0.004486393833144831,-0.02629235455703482,-1.5065243369089134,-0.020995065885588565
2020-08-02,grid_vm126_um0.1,126.0,0.1,126,15,1.99,87,-0.013035773277035116,-0.037758791561067234,-1.8131319415507974,-0.030984749478053256
2020-08-02,grid_vm126_um0.2,126.0,0.2,63,16,2.0,43,-0.004409946476178671,-0.025844337488302907,-1.4438552069527497,-0.021339550679208612
2020-08-02,grid_vm126_um0.2,126.0,0.2,126,16,2.0,87,-0.013331946925024152,-0.0386166738517941,-1.7592328947110532,-0.03086695214005499
2020-08-02,grid_vm126_um0.3,126.0,0.3,63,16,2.0,43,-0.004409946476178671,-0.025844337488302907,-1.4438552069527497,-0.021339550679208612
2020-08-02,grid_vm126_um0.3,126.0,0.3,126,16,2.0,87,-0.013331946925024152,-0.0386166738517941,-1.7592328947110532,-0.03086695214005499
2020-08-02,grid_vm189_um0.1,189.0,0.1,63,15,1.82,43,-0.006334224744458121,-0.037121503153568526,-1.8031636643522282,-0.021027591737219686
2020-08-02,grid_vm189_um0.1,189.0,0.1,126,15,1.82,87,-0.015634861313364307,-0.04528718449388282,-2.0453814305359113,-0.03181738247675773
2020-08-02,grid_vm189_um0.2,189.0,0.2,63,16,1.85,43,-0.00504708248713235,-0.02957825085482214,-1.5892380027642143,-0.020294175187093533
2020-08-02,grid_vm189_um0.2,189.0,0.2,126,16,1.85,87,-0.013561743659317883,-0.039282291978713864,-1.869443325170334,-0.03099007244955454
2020-08-02,grid_vm189_um0.3,189.0,0.3,63,16,1.85,43,-0.00504708248713235,-0.02957825085482214,-1.5892380027642143,-0.020294175187093533
2020-08-02,grid_vm189_um0.3,189.0,0.3,126,16,1.85,87,-0.013561743659317883,-0.039282291978713864,-1.869443325170334,-0.03099007244955454
2020-08-02,grid_vm252_um0.1,252.0,0.1,63,15,1.83,43,-0.0063547157862937995,-0.03724159018944273,-1.7796025097643378,-0.02162703041059292
2020-08-02,grid_vm252_um0.1,252.0,0.1,126,15,1.83,87,-0.01633074996855995,-0.047302861977897785,-2.0432667864624054,-0.03193294690755795
2020-08-02,grid_vm252_um0.2,252.0,0.2,63,16,1.85,43,-0.005055879256670995,-0.02962980401583932,-1.5900602761783822,-0.02028207517729714
2020-08-02,grid_vm252_um0.2,252.0,0.2,126,16,1.85,87,-0.013646239756827836,-0.03952703929563925,-1.875124306385481,-0.031055194509033122
2020-08-02,grid_vm252_um0.3,252.0,0.3,63,16,1.85,43,-0.005055879256670995,-0.02962980401583932,-1.5900602761783822,-0.02028207517729714
2020-08-02,grid_vm252_um0.3,252.0,0.3,126,16,1.85,87,-0.013646239756827836,-0.03952703929563925,-1.875124306385481,-0.031055194509033122
2020-08-02,hrp_crudo_sin_purga,,,63,102,1.26,43,-0.000826776172176489,-0.004845292916011052,-6.768797566294414,-0.0026585433888897817
2020-08-02,hrp_crudo_sin_purga,,,126,102,1.26,87,3.248576827971503e-05,9.409670812055388e-05,-6.705912943197086,-0.0034332234118616485
2020-08-02,equal_weight_universo_produccion,,,63,16,16.0,43,0.03688281538300302,0.21615045294225024,1.0295108389799699,-0.08382195333452136
2020-08-02,equal_weight_universo_produccion,,,126,16,16.0,87,0.11689134582457682,0.33858182928498115,2.117014725414306,-0.08382195333452136
2020-10-04,grid_vm63_um0.1,63.0,0.1,63,16,1.79,43,-0.004980800339376058,-0.02918980664006434,-1.8066677805086409,-0.024641816435140754
2020-10-04,grid_vm63_um0.1,63.0,0.1,126,16,1.79,85,-0.0014857630226846018,-0.004404850373135525,-1.3635204596853427,-0.024641816435140754
2020-10-04,grid_vm63_um0.2,63.0,0.2,63,16,1.79,43,-0.004980800339376058,-0.02918980664006434,-1.8066677805086409,-0.024641816435140754
2020-10-04,grid_vm63_um0.2,63.0,0.2,126,16,1.79,85,-0.0014857630226846018,-0.004404850373135525,-1.3635204596853427,-0.024641816435140754
2020-10-04,grid_vm63_um0.3,63.0,0.3,63,16,1.79,43,-0.004980800339376058,-0.02918980664006434,-1.8066677805086409,-0.024641816435140754
2020-10-04,grid_vm63_um0.3,63.0,0.3,126,16,1.79,85,-0.0014857630226846018,-0.004404850373135525,-1.3635204596853427,-0.024641816435140754
2020-10-04,grid_vm126_um0.1,126.0,0.1,63,16,1.87,43,-0.0032118207567188002,-0.018822763504491573,-1.6582728292685507,-0.02415235546941284
2020-10-04,grid_vm126_um0.1,126.0,0.1,126,16,1.87,85,-0.0006329353974924661,-0.0018764672960953112,-1.352951478890266,-0.02415235546941284
2020-10-04,grid_vm126_um0.2,126.0,0.2,63,16,1.8,43,-0.004879083821809831,-0.02859370053711808,-1.845646885524508,-0.02444689493574429
2020-10-04,grid_vm126_um0.2,126.0,0.2,126,16,1.8,85,-0.0027377158108350787,-0.00811652216859341,-1.4848279036742944,-0.02444689493574429
2020-10-04,grid_vm126_um0.3,126.0,0.3,63,16,1.8,43,-0.004879083821809831,-0.02859370053711808,-1.845646885524508,-0.02444689493574429
2020-10-04,grid_vm126_um0.3,126.0,0.3,126,16,1.8,85,-0.0027377158108350787,-0.00811652216859341,-1.4848279036742944,-0.02444689493574429
2020-10-04,grid_vm189_um0.1,189.0,0.1,63,15,1.67,43,-0.005697978785690624,-0.033392805906838074,-1.9499859425644392,-0.020400019842335866
2020-10-04,grid_vm189_um0.1,189.0,0.1,126,15,1.67,85,-0.0021536566249308713,-0.0063849584645009365,-1.4471642473178379,-0.020400019842335866
